duration loss = 0.391 | prior loss = 1.312 | diffusion loss =0.115 | Total loss = 1.818
duration loss = 0.391 | prior loss = 1.311 | diffusion loss =0.114 | Total loss = 1.816
duration loss = 0.39 | prior loss = 1.311 | diffusion loss =0.114 | Total loss = 1.8150000000000002
duration loss = 0.39 | prior loss = 1.31 | diffusion loss =0.113 | Total loss = 1.8130000000000002
duration loss = 0.389 | prior loss = 1.31 | diffusion loss =0.117 | Total loss = 1.816
duration loss = 0.389 | prior loss = 1.309 | diffusion loss =0.114 | Total loss = 1.812
duration loss = 0.387 | prior loss = 1.308 | diffusion loss =0.115 | Total loss = 1.81
duration loss = 0.387 | prior loss = 1.308 | diffusion loss =0.115 | Total loss = 1.81
duration loss = 0.387 | prior loss = 1.307 | diffusion loss =0.114 | Total loss = 1.808
duration loss = 0.386 | prior loss = 1.307 | diffusion loss =0.114 | Total loss = 1.8070000000000002
duration loss = 0.386 | prior loss = 1.306 | diffusion loss =0.113 | Total loss = 1.8050000000000002
duration loss = 0.385 | prior loss = 1.306 | diffusion loss =0.115 | Total loss = 1.806
duration loss = 0.384 | prior loss = 1.306 | diffusion loss =0.115 | Total loss = 1.805
duration loss = 0.383 | prior loss = 1.304 | diffusion loss =0.115 | Total loss = 1.802
duration loss = 0.383 | prior loss = 1.303 | diffusion loss =0.113 | Total loss = 1.799
duration loss = 0.383 | prior loss = 1.304 | diffusion loss =0.112 | Total loss = 1.7990000000000002
duration loss = 0.382 | prior loss = 1.304 | diffusion loss =0.114 | Total loss = 1.8
duration loss = 0.381 | prior loss = 1.302 | diffusion loss =0.114 | Total loss = 1.7970000000000002
duration loss = 0.381 | prior loss = 1.303 | diffusion loss =0.114 | Total loss = 1.798
duration loss = 0.38 | prior loss = 1.302 | diffusion loss =0.111 | Total loss = 1.793
duration loss = 0.379 | prior loss = 1.301 | diffusion loss =0.114 | Total loss = 1.794
duration loss = 0.379 | prior loss = 1.301 | diffusion loss =0.113 | Total loss = 1.793
duration loss = 0.379 | prior loss = 1.3 | diffusion loss =0.115 | Total loss = 1.794
duration loss = 0.379 | prior loss = 1.3 | diffusion loss =0.118 | Total loss = 1.7970000000000002
duration loss = 0.378 | prior loss = 1.299 | diffusion loss =0.115 | Total loss = 1.792
duration loss = 0.378 | prior loss = 1.3 | diffusion loss =0.115 | Total loss = 1.793
duration loss = 0.377 | prior loss = 1.298 | diffusion loss =0.116 | Total loss = 1.7910000000000001
duration loss = 0.376 | prior loss = 1.298 | diffusion loss =0.117 | Total loss = 1.791
duration loss = 0.376 | prior loss = 1.298 | diffusion loss =0.116 | Total loss = 1.79
duration loss = 0.375 | prior loss = 1.298 | diffusion loss =0.112 | Total loss = 1.7850000000000001
duration loss = 0.375 | prior loss = 1.296 | diffusion loss =0.116 | Total loss = 1.7870000000000001
duration loss = 0.375 | prior loss = 1.296 | diffusion loss =0.116 | Total loss = 1.7870000000000001
duration loss = 0.374 | prior loss = 1.295 | diffusion loss =0.115 | Total loss = 1.784
duration loss = 0.374 | prior loss = 1.296 | diffusion loss =0.116 | Total loss = 1.786
duration loss = 0.373 | prior loss = 1.295 | diffusion loss =0.118 | Total loss = 1.786
duration loss = 0.373 | prior loss = 1.294 | diffusion loss =0.115 | Total loss = 1.782
duration loss = 0.372 | prior loss = 1.294 | diffusion loss =0.113 | Total loss = 1.779
duration loss = 0.372 | prior loss = 1.294 | diffusion loss =0.113 | Total loss = 1.779
duration loss = 0.372 | prior loss = 1.294 | diffusion loss =0.113 | Total loss = 1.779
duration loss = 0.371 | prior loss = 1.293 | diffusion loss =0.112 | Total loss = 1.776
duration loss = 0.37 | prior loss = 1.293 | diffusion loss =0.111 | Total loss = 1.7739999999999998
duration loss = 0.37 | prior loss = 1.293 | diffusion loss =0.114 | Total loss = 1.777
duration loss = 0.37 | prior loss = 1.291 | diffusion loss =0.118 | Total loss = 1.779
duration loss = 0.369 | prior loss = 1.292 | diffusion loss =0.111 | Total loss = 1.772
duration loss = 0.368 | prior loss = 1.292 | diffusion loss =0.114 | Total loss = 1.7740000000000002
duration loss = 0.368 | prior loss = 1.291 | diffusion loss =0.113 | Total loss = 1.7719999999999998
duration loss = 0.368 | prior loss = 1.29 | diffusion loss =0.115 | Total loss = 1.773
duration loss = 0.367 | prior loss = 1.29 | diffusion loss =0.114 | Total loss = 1.7710000000000001
duration loss = 0.367 | prior loss = 1.29 | diffusion loss =0.115 | Total loss = 1.772
duration loss = 0.366 | prior loss = 1.29 | diffusion loss =0.112 | Total loss = 1.7680000000000002
duration loss = 0.366 | prior loss = 1.289 | diffusion loss =0.112 | Total loss = 1.767
duration loss = 0.365 | prior loss = 1.289 | diffusion loss =0.113 | Total loss = 1.767
duration loss = 0.366 | prior loss = 1.289 | diffusion loss =0.116 | Total loss = 1.771
duration loss = 0.364 | prior loss = 1.288 | diffusion loss =0.112 | Total loss = 1.7640000000000002
duration loss = 0.365 | prior loss = 1.288 | diffusion loss =0.114 | Total loss = 1.7670000000000001
duration loss = 0.364 | prior loss = 1.288 | diffusion loss =0.113 | Total loss = 1.7650000000000001
duration loss = 0.364 | prior loss = 1.287 | diffusion loss =0.112 | Total loss = 1.763
duration loss = 0.365 | prior loss = 1.287 | diffusion loss =0.114 | Total loss = 1.766
duration loss = 0.364 | prior loss = 1.287 | diffusion loss =0.114 | Total loss = 1.765
duration loss = 0.363 | prior loss = 1.286 | diffusion loss =0.11 | Total loss = 1.7590000000000001
