Epoch 63: duration loss = 0.410 | prior loss = 1.346 | diffusion loss = 0.114| Total loss = 1.870
Epoch 64: duration loss = 0.408 | prior loss = 1.344 | diffusion loss = 0.083| Total loss = 1.835
Epoch 65: duration loss = 0.413 | prior loss = 1.342 | diffusion loss = 0.106| Total loss = 1.861
Epoch 66: duration loss = 0.409 | prior loss = 1.346 | diffusion loss = 0.137| Total loss = 1.892
Epoch 67: duration loss = 0.410 | prior loss = 1.343 | diffusion loss = 0.136| Total loss = 1.889
Epoch 68: duration loss = 0.404 | prior loss = 1.343 | diffusion loss = 0.107| Total loss = 1.855
Epoch 69: duration loss = 0.406 | prior loss = 1.344 | diffusion loss = 0.084| Total loss = 1.834
Epoch 70: duration loss = 0.407 | prior loss = 1.344 | diffusion loss = 0.128| Total loss = 1.878
Epoch 71: duration loss = 0.411 | prior loss = 1.345 | diffusion loss = 0.125| Total loss = 1.881
Epoch 72: duration loss = 0.411 | prior loss = 1.344 | diffusion loss = 0.090| Total loss = 1.844
Epoch 73: duration loss = 0.403 | prior loss = 1.343 | diffusion loss = 0.117| Total loss = 1.863
Epoch 74: duration loss = 0.408 | prior loss = 1.344 | diffusion loss = 0.133| Total loss = 1.885
Epoch 75: duration loss = 0.408 | prior loss = 1.345 | diffusion loss = 0.144| Total loss = 1.897
Epoch 76: duration loss = 0.409 | prior loss = 1.343 | diffusion loss = 0.135| Total loss = 1.887
Epoch 77: duration loss = 0.409 | prior loss = 1.346 | diffusion loss = 0.113| Total loss = 1.868
Epoch 78: duration loss = 0.407 | prior loss = 1.347 | diffusion loss = 0.099| Total loss = 1.853
Epoch 79: duration loss = 0.404 | prior loss = 1.344 | diffusion loss = 0.102| Total loss = 1.850
Epoch 80: duration loss = 0.407 | prior loss = 1.344 | diffusion loss = 0.089| Total loss = 1.840
Epoch 81: duration loss = 0.404 | prior loss = 1.345 | diffusion loss = 0.128| Total loss = 1.878
Epoch 82: duration loss = 0.404 | prior loss = 1.344 | diffusion loss = 0.112| Total loss = 1.860
Epoch 83: duration loss = 0.407 | prior loss = 1.347 | diffusion loss = 0.130| Total loss = 1.884
Epoch 84: duration loss = 0.407 | prior loss = 1.343 | diffusion loss = 0.124| Total loss = 1.874
Epoch 85: duration loss = 0.411 | prior loss = 1.343 | diffusion loss = 0.128| Total loss = 1.882
Epoch 86: duration loss = 0.410 | prior loss = 1.345 | diffusion loss = 0.132| Total loss = 1.887
Epoch 87: duration loss = 0.406 | prior loss = 1.344 | diffusion loss = 0.111| Total loss = 1.862
Epoch 88: duration loss = 0.407 | prior loss = 1.344 | diffusion loss = 0.106| Total loss = 1.857
Epoch 89: duration loss = 0.408 | prior loss = 1.344 | diffusion loss = 0.143| Total loss = 1.895
Epoch 90: duration loss = 0.409 | prior loss = 1.344 | diffusion loss = 0.101| Total loss = 1.853
Epoch 91: duration loss = 0.403 | prior loss = 1.347 | diffusion loss = 0.113| Total loss = 1.863
Epoch 92: duration loss = 0.410 | prior loss = 1.347 | diffusion loss = 0.104| Total loss = 1.861
Epoch 93: duration loss = 0.406 | prior loss = 1.344 | diffusion loss = 0.102| Total loss = 1.853
Epoch 94: duration loss = 0.408 | prior loss = 1.344 | diffusion loss = 0.118| Total loss = 1.870
Epoch 95: duration loss = 0.409 | prior loss = 1.344 | diffusion loss = 0.096| Total loss = 1.849
Epoch 96: duration loss = 0.407 | prior loss = 1.346 | diffusion loss = 0.089| Total loss = 1.841
Epoch 97: duration loss = 0.405 | prior loss = 1.344 | diffusion loss = 0.139| Total loss = 1.888
Epoch 98: duration loss = 0.409 | prior loss = 1.346 | diffusion loss = 0.146| Total loss = 1.900
Epoch 99: duration loss = 0.410 | prior loss = 1.343 | diffusion loss = 0.134| Total loss = 1.886
Epoch 100: duration loss = 0.411 | prior loss = 1.346 | diffusion loss = 0.096| Total loss = 1.853
Epoch 101: duration loss = 0.409 | prior loss = 1.345 | diffusion loss = 0.101| Total loss = 1.855
Epoch 102: duration loss = 0.408 | prior loss = 1.345 | diffusion loss = 0.131| Total loss = 1.885
Epoch 103: duration loss = 0.404 | prior loss = 1.345 | diffusion loss = 0.156| Total loss = 1.905
Epoch 104: duration loss = 0.407 | prior loss = 1.342 | diffusion loss = 0.137| Total loss = 1.886
Epoch 105: duration loss = 0.407 | prior loss = 1.343 | diffusion loss = 0.070| Total loss = 1.821
Epoch 106: duration loss = 0.410 | prior loss = 1.347 | diffusion loss = 0.113| Total loss = 1.870
Epoch 107: duration loss = 0.402 | prior loss = 1.345 | diffusion loss = 0.119| Total loss = 1.867
Epoch 108: duration loss = 0.403 | prior loss = 1.343 | diffusion loss = 0.128| Total loss = 1.874
Epoch 109: duration loss = 0.405 | prior loss = 1.347 | diffusion loss = 0.072| Total loss = 1.824
Epoch 110: duration loss = 0.404 | prior loss = 1.346 | diffusion loss = 0.116| Total loss = 1.866
Epoch 111: duration loss = 0.403 | prior loss = 1.347 | diffusion loss = 0.127| Total loss = 1.877
Epoch 112: duration loss = 0.406 | prior loss = 1.344 | diffusion loss = 0.114| Total loss = 1.863
Epoch 113: duration loss = 0.406 | prior loss = 1.347 | diffusion loss = 0.128| Total loss = 1.881
Epoch 114: duration loss = 0.403 | prior loss = 1.347 | diffusion loss = 0.120| Total loss = 1.870
Epoch 115: duration loss = 0.410 | prior loss = 1.349 | diffusion loss = 0.126| Total loss = 1.885
Epoch 116: duration loss = 0.407 | prior loss = 1.347 | diffusion loss = 0.085| Total loss = 1.839
Epoch 117: duration loss = 0.410 | prior loss = 1.347 | diffusion loss = 0.097| Total loss = 1.854
Epoch 118: duration loss = 0.411 | prior loss = 1.347 | diffusion loss = 0.107| Total loss = 1.865
Epoch 119: duration loss = 0.407 | prior loss = 1.346 | diffusion loss = 0.111| Total loss = 1.864
Epoch 120: duration loss = 0.414 | prior loss = 1.347 | diffusion loss = 0.111| Total loss = 1.872
Epoch 121: duration loss = 0.407 | prior loss = 1.346 | diffusion loss = 0.096| Total loss = 1.849
Epoch 122: duration loss = 0.404 | prior loss = 1.344 | diffusion loss = 0.121| Total loss = 1.869
Epoch 123: duration loss = 0.408 | prior loss = 1.347 | diffusion loss = 0.115| Total loss = 1.870
Epoch 124: duration loss = 0.412 | prior loss = 1.344 | diffusion loss = 0.133| Total loss = 1.889
Epoch 125: duration loss = 0.401 | prior loss = 1.347 | diffusion loss = 0.085| Total loss = 1.833
Epoch 126: duration loss = 0.409 | prior loss = 1.345 | diffusion loss = 0.104| Total loss = 1.858
Epoch 127: duration loss = 0.409 | prior loss = 1.347 | diffusion loss = 0.104| Total loss = 1.860
Epoch 128: duration loss = 0.410 | prior loss = 1.349 | diffusion loss = 0.179| Total loss = 1.938
Epoch 129: duration loss = 0.410 | prior loss = 1.345 | diffusion loss = 0.136| Total loss = 1.891
Epoch 130: duration loss = 0.409 | prior loss = 1.347 | diffusion loss = 0.112| Total loss = 1.868
Epoch 131: duration loss = 0.406 | prior loss = 1.346 | diffusion loss = 0.100| Total loss = 1.852
Epoch 132: duration loss = 0.411 | prior loss = 1.346 | diffusion loss = 0.166| Total loss = 1.923
Epoch 133: duration loss = 0.409 | prior loss = 1.349 | diffusion loss = 0.115| Total loss = 1.872
Epoch 134: duration loss = 0.409 | prior loss = 1.344 | diffusion loss = 0.076| Total loss = 1.829
Epoch 135: duration loss = 0.405 | prior loss = 1.343 | diffusion loss = 0.079| Total loss = 1.827
Epoch 136: duration loss = 0.408 | prior loss = 1.347 | diffusion loss = 0.124| Total loss = 1.878
Epoch 137: duration loss = 0.406 | prior loss = 1.348 | diffusion loss = 0.132| Total loss = 1.886
